family,train_count,test_count,train_percent,test_percent,difference_pp,abs_difference
desalinhado,0,9178,0.0,27.51199040767386,27.51199040767386,27.51199040767386
normal,5563,9395,4.169039839323721,28.162470023980816,23.993430184657093,23.993430184657093
polia,12000,0,8.993075331994364,0.0,-8.993075331994364,8.993075331994364
ventoinha,11999,300,8.992325909050033,0.8992805755395683,-8.093045333510464,8.093045333510464
correia,11542,457,8.649839623489914,1.369904076738609,-7.279935546751305,7.279935546751305
rolamento_inner,16012,1700,11.999760184657813,5.095923261390888,-6.903836923266925,6.903836923266925
cocked_rotor,13075,1200,9.798704997152193,3.597122302158273,-6.2015826949939195,6.2015826949939195
eccentric_rotor,14808,1689,11.097454959681045,5.06294964028777,-6.034505319393275,6.034505319393275
rolamento_combination,13000,1550,9.742498276327229,4.646282973621103,-5.096215302706126,5.096215302706126
rolamento_outer,13000,1763,9.742498276327229,5.284772182254197,-4.457726094073032,4.457726094073032
rolamento_ball,12004,1700,8.996073023771697,5.095923261390888,-3.900149762380809,3.900149762380809
falta_fase,0,800,0.0,2.3980815347721824,2.3980815347721824,2.3980815347721824
desbalanceado,10079,3158,7.553433855930932,9.46642685851319,1.9129930025822572,1.9129930025822572
teste,0,251,0.0,0.7523980815347722,0.7523980815347722,0.7523980815347722
baseline,0,69,0.0,0.2068345323741007,0.2068345323741007,0.2068345323741007
motor_desligado,347,150,0.2600497616835037,0.44964028776978415,0.18959052608628046,0.18959052608628046
acelerando,7,0,0.005245960610330046,0.0,-0.005245960610330046,0.005245960610330046
