model,accuracy,macro_f1,weighted_f1,split,train_size,test_size
SGD Logistic,0.25579303935969305,0.23488591781883078,0.2296810540833852,Random Split 80/20,133437,33359
Random Forest,0.8274528612968015,0.8685725261039017,0.8272364178093226,Random Split 80/20,133437,33359
SGD Logistic,0.0921462829736211,0.09335954551631863,0.0706228954588423,Temporal Open-Set 80/20,133436,33360
Random Forest,0.07497002398081534,0.09853752006684241,0.040196699957208426,Temporal Open-Set 80/20,133436,33360
SGD Logistic,0.1332928627178909,0.1627055516501486,0.12495062826592958,Temporal Closed-Set 80/20,133436,23062
Random Forest,0.10844679559448443,0.1807861764009857,0.069119352785366,Temporal Closed-Set 80/20,133436,23062
