fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
desbalanceado_adxl_0,100,0.05995347610254442,100,2,500.0,2000.0,"500, 2000",2026-06-09 11:04:04.560588+00:00,2026-06-09 11:20:02.417722+00:00,0.2660714261111111
cocked_adxl_0,100,0.05995347610254442,100,2,1000.0,2000.0,"1000, 2000",2026-06-09 14:03:01.455035+00:00,2026-06-09 14:12:38.413178+00:00,0.16026615083333332
teste,97,0.05815487181946809,97,3,0.0,2000.0,"0, 500, 2000",2026-06-05 21:38:22.688743+00:00,2026-06-09 10:46:58.591928+00:00,85.14330644027778
new_baseline,69,0.04136789851075565,69,1,0.0,0.0,0,2026-06-11 01:19:48.499976+00:00,2026-06-11 15:53:40.295266+00:00,14.564387580555556
rolamento_outer_adxl_1,63,0.03777068994460299,63,3,500.0,2000.0,"500, 1000, 2000",2026-06-09 15:00:21.845996+00:00,2026-06-09 15:06:47.006598+00:00,0.1069890561111111
desabalanceado_3,50,0.02997673805127221,50,1,2000.0,2000.0,2000,2026-06-05 15:12:57.816962+00:00,2026-06-05 15:14:35.834400+00:00,0.02722706611111111
rolamento_outer_novo_teste,50,0.02997673805127221,50,1,2000.0,2000.0,2000,2026-06-05 23:19:42.177331+00:00,2026-06-05 23:21:20.194438+00:00,0.027226974166666664
motor_desligado_novo,50,0.02997673805127221,50,1,0.0,0.0,0,2026-06-05 23:36:03.717404+00:00,2026-06-05 23:37:41.746328+00:00,0.027230256666666668
mortor_desligado_novo,50,0.02997673805127221,50,1,0.0,0.0,0,2026-06-05 23:38:07.639861+00:00,2026-06-05 23:39:45.657410+00:00,0.027227096944444446
desbanlanceado_carga_3_2,50,0.02997673805127221,50,1,1000.0,1000.0,1000,2026-06-06 11:35:10.379338+00:00,2026-06-06 11:36:48.397850+00:00,0.027227364444444443
normla_carga_3_3,50,0.02997673805127221,50,1,2000.0,2000.0,2000,2026-06-06 11:43:33.376316+00:00,2026-06-06 11:45:11.388630+00:00,0.027225642777777777
ddesbalanceado_adxl_0,50,0.02997673805127221,50,1,1000.0,1000.0,1000,2026-06-09 11:10:23.838301+00:00,2026-06-09 11:14:53.344416+00:00,0.07486280972222223
cockecocked_adxl_0,50,0.02997673805127221,50,1,500.0,500.0,500,2026-06-09 13:57:24.455705+00:00,2026-06-09 14:01:53.959732+00:00,0.07486222972222223
new_desabanceado_1,50,0.02997673805127221,50,1,2000.0,2000.0,2000,2026-06-15 21:06:25.714959+00:00,2026-06-15 21:10:45.420120+00:00,0.07214032249999999
desbalanceado_adxl_1,42,0.02518045996306866,42,2,500.0,1000.0,"500, 1000",2026-06-09 14:50:26.779145+00:00,2026-06-09 14:54:40.724755+00:00,0.07054044722222222
eccentric_2_pos_2,39,0.023381855679992326,39,1,2000.0,2000.0,2000,2026-06-05 19:03:26.091557+00:00,2026-06-05 19:04:42.102076+00:00,0.021114033055555557
new_desalinhado_4,31,0.01858557759178877,31,1,500.0,500.0,500,2026-06-16 13:20:09.477134+00:00,2026-06-16 13:22:48.480382+00:00,0.04416756888888889
dedesbalanceado_adxl_1,21,0.01259022998153433,21,1,2000.0,2000.0,2000,2026-06-09 14:55:13.539306+00:00,2026-06-09 14:57:03.539985+00:00,0.03055574416666667
normal_6,20,0.011990695220508885,20,1,500.0,500.0,500,2026-06-09 01:19:33.485166+00:00,2026-06-09 01:22:19.874001+00:00,0.046219120833333335
acelerando,7,0.004196743327178109,7,1,2000.0,2000.0,2000,2026-05-21 20:25:50.963569+00:00,2026-05-21 20:27:01.347450+00:00,0.019551078055555556
new_tes,2,0.0011990695220508885,2,1,0.0,0.0,0,2026-06-12 11:10:33.274528+00:00,2026-06-12 11:10:38.575564+00:00,0.00147251
new_teste,2,0.0011990695220508885,2,1,500.0,500.0,500,2026-06-12 16:07:37.704152+00:00,2026-06-12 16:07:43.004419+00:00,0.0014722963888888889
