fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
desbalanceado_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:47:29.038482+00:00,2026-06-05 19:53:13.183142+00:00,0.09559573888888888
cocked_rotor_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:56:25.755386+00:00,2026-06-05 20:02:22.310220+00:00,0.09904300944444445
eccentric_rotor_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:05:40.522166+00:00,2026-06-05 20:11:27.423608+00:00,0.09636151166666666
rolamento_combination_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:14:26.017023+00:00,2026-06-05 20:20:10.781110+00:00,0.09576780194444445
rolamento_ball_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:22:16.110325+00:00,2026-06-05 20:27:47.849311+00:00,0.09214971833333334
rolamento_inner_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:29:59.066662+00:00,2026-06-05 20:35:38.038994+00:00,0.09415898111111111
rolamento_outer_carga,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:39:18.502259+00:00,2026-06-05 20:45:31.865987+00:00,0.10371214666666666
desbalanceado_carga_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 20:53:47.036774+00:00,2026-06-05 20:59:41.158033+00:00,0.0983670163888889
rolamento_inner_carga_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 21:01:51.453880+00:00,2026-06-05 21:09:08.421646+00:00,0.121379935
eccentric_rotor_carga_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 21:13:41.519137+00:00,2026-06-05 21:19:42.228782+00:00,0.10019712361111112
desbalanceado_novo,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 22:54:11.276114+00:00,2026-06-05 23:00:33.535313+00:00,0.10618311083333334
